Subject,Nome,Observação,Fonte Resumida,Confiança,Error
Urban Kitchen | Restaurante | Brunch/Rooftop | Rua Gabriele D'Annunzio 1334 | @urbankitchen.br,Urban Kitchen,"Cozinha natural com teto retrátil, ideal para um brunch relaxado e pet friendly.",Site oficial; Instagram oficial; Google Maps; Veja São Paulo,1,
NB Steak Campo Belo | Restaurante | Churrascaria Premium | Av Vereador José Diniz 3864 | @nbsteak,NB Steak Campo Belo,Menu degustação com cortes premium servidos à vontade em um ambiente sofisticado e acolhedor.,Site oficial; Instagram oficial; Tripadvisor; Google Maps,0.95,
Huto Izakaya | Restaurante | Japonês | Rua Jesuíno Maciel 682 | @grupo_huto,Huto Izakaya,"Japonês sofisticado e intimista no Campo Belo, com sushis impecáveis e ótimos drinks.",Guia Michelin; Tripadvisor; Veja São Paulo; Google Maps,0.95,
Maremonti Campo Belo | Restaurante | Italiano | Rua Princesa Isabel 953 | @maremonti_,Maremonti Campo Belo,"Ambiente aconchegante em casarão preservado, ideal para pizzas individuais e o famoso polpettone recheado.",Instagram oficial; Site Maremonti; Google Maps; Veja São Paulo,0.95,
Café Artigas / Casa Artigas | Café | Brunch | Rua Barão Jaceguai 1151 | @cafeartigas,Café Artigas / Casa Artigas,"Gastronomia em ícone modernista, ideal para um almoço tranquilo ao ar livre no pátio.",Instagram oficial; Veja São Paulo; TripAdvisor; UOL Urban Taste,1,
O Jardim Café & Brunch | Café | Brunch | Rua Princesa Isabel 1372 | @ojardim.sp,O Jardim Café & Brunch,Refúgio arborizado ideal para brunch completo ou trabalhar em um ambiente tranquilo e acolhedor.,Instagram oficial; Cardápio Digital (Get In); TripAdvisor,0.95,
Platz Eurobar | Bar | Happy Hour | Rua Cristóvão Pereira 1252 | @platz_eurobar,Platz Eurobar,"Ambiente charmoso com parklet, famoso pelas caipirinhas caprichadas e crostinis gratinados no happy hour.",Instagram oficial; Site oficial; Tripadvisor; Google Maps,1,
Miles Wine Bar | Bar | Wine Bar | Rua Antônio de Macedo Soares 1373 | @mileswinebar,Miles Wine Bar,Vinhos e pizzas artesanais em ambiente intimista com jazz ao vivo no Campo Belo.,Instagram oficial; TripAdvisor; Google Maps; Brazil Economy,0.95,
Miya Wine Bar | Bar | Wine Bar | Rua República do Iraque 1038 | @miyawinebar,Miya Wine Bar,Ótimo para harmonizar vinhos em taça com a premiada tostada de milho do chef.,Instagram oficial; Duo Gourmet; Veja SP; Wine Locals,0.95,
Sauce Burger | Restaurante | Hamburgueria | Rua João de Sousa Dias 475 | @sauce.burgers,Sauce Burgers,Famoso pelos smash burgers suculentos e molhos artesanais variados em um ambiente super descontraído.,Instagram oficial; Google Maps; Duo Gourmet,0.95,
Ken Zushi | Restaurante | Japonês | Rua Barão de Suruí 190 - 1° andar | @ken_zushi,Ken Zushi,Culinária japonesa autêntica e peixes frescos em ambiente discreto e acolhedor no Campo Belo.,Instagram oficial; TripAdvisor; Goomer; Facebook,0.95,
Cris Parrilla Bar | Restaurante | Parrilla | Rua República do Iraque 1326 | @crisparrillabar,Cris Parrilla Bar,"Ambiente descontraído com carnes na brasa, música ao vivo e ótimo espaço para crianças.",Instagram oficial; BaresSP; Google Maps,0.95,
Caetano's Bar | Bar | Tradicional | Campo Belo,Caetano's Bar Zona Sul,Destaque para o rodízio de parmegiana e o chopp premiado em ambiente familiar.,Site oficial; Instagram oficial; Google Maps,0.95,
Padaria Colonial | Padaria | Tradicional | Rua Demóstenes 805,Padaria Colonial (Campo Belo),"Tradicional no bairro, destaca-se pelo pão francês quentinho e buffet completo de café.",Instagram oficial; Google Maps; TripAdvisor,0.95,
Padaria A Trigueira | Padaria | Tradicional | Campo Belo,Padaria A Trigueira,"Tradicional no bairro, destaca-se pelo buffet de sopas à noite e pães variados.",Instagram oficial; TripAdvisor; Veja São Paulo; iFood,0.95,
Benjamin a Padaria | Padaria | Rede | Rua Dr. Jesuíno Maciel 192,Benjamin a Padaria (Campo Belo),"Prática para retirada rápida, oferece croissants amanteigados e ambiente pet friendly no bairro.",Instagram oficial; Google Maps; Site oficial da rede Benjamin,0.95,
Toss Baking Unit | Padaria | Artesanal | Av. Ver. José Diniz 3031 | @toss.bakingunit,Toss Baking Unit,Ambiente moderno e descolado com croissants artesanais perfeitos para um café no bairro.,Instagram oficial; Comercio São Paulo; Guia Campo Belo,0.95,
Confeitaria Christina | Confeitaria | Premium | Campo Belo | @confeitariachristina,Confeitaria Christina,"Tradicional reduto austríaco no bairro, perfeito para um café com o autêntico Apfelstrudel.",Instagram oficial; Site oficial; Veja São Paulo,1,
Dona Glória Confeitaria | Confeitaria | Caseira | Campo Belo,Dona Glória Confeitaria,Destaque para o famoso bolo de coco gelado e os bolos caseiros com receitas de vó.,Instagram oficial; TripAdvisor; iFood; Campo Belo Dicas,0.95,
Tartelier Patisserie | Confeitaria | Francesa | Campo Belo | @tartelier,Tartelier Patisserie,"O mil-folhas crocante é imperdível, especialmente nas versões clássica de baunilha ou pistache.",Instagram oficial; Google Maps; Site oficial da Tartelier,0.95,
Chocolatria | Café | Doces | Campo Belo | @chocolatria,Chocolatria,Destaque para os variados choux creams e cafés especiais em ambiente acolhedor e escondidinho.,Instagram oficial; Site oficial; Google Maps; Veja SP,0.95,
Pizzaria Dona Moema | Restaurante | Pizzaria | Campo Belo,Pizzaria Dona Moema,"Tradicional pizza de forno a lenha, ideal para um delivery caprichado no Campo Belo.",Site oficial; Google Maps; Instagram oficial,0.95,
Pizza Prime Campo Belo | Restaurante | Pizzaria | Campo Belo,Pizza Prime Campo Belo,"Famosa pela massa leve e crocante, oferece ótimas opções veganas e pizzas doces diferenciadas.",Site oficial; Google Maps; Instagram oficial,0.95,
Zi Tereza Pizzaria | Restaurante | Pizzaria | Campo Belo | @zitereza,Zi Tereza,"Pizzaria tradicional de massa fina e ambiente acolhedor, ideal para jantares tranquilos em família.",Instagram oficial; Tripadvisor; Site oficial,1,
LIVE! Campo Belo | Loja | Moda Fitness | Rua João de Souza Dias | @liveoficial,LIVE! Campo Belo,Espaço moderno com ampla variedade de moda fitness e beachwear de alta performance.,Instagram oficial; Site oficial LIVE!; Google Maps,0.95,
Boutique dos Livros | Loja | Livraria | Rua João de Sousa Dias 615 | @_boutiquedoslivros_,Boutique dos Livros,"Livraria aconchegante com café e clube do livro, ideal para garimpar boas leituras no bairro.",Instagram oficial; Facebook oficial; Google Maps,0.95,
HSE Loja 2 | Loja | Esportes | Rua Conde de Porto Alegre 1182 | @hseloja2,HSE Loja 2,"Especializada em tênis, oferece encordoamento profissional de raquetes e acessórios para diversos esportes de quadra.",Instagram oficial (@hseloja2); Facebook HSE Sport; Google Maps,1,
La Mia Gelateria | Confeitaria | Gelateria | Rua Vieira de Morais 329 | @lamia.gelateria,La Mia Gelateria,"Gelatos artesanais e picolés variados com preços justos, ideais para levar e estocar em casa.",Instagram oficial; Google Maps; Site oficial,0.95,
Café des Fleurs | Café | Francês | Rua Gabriele D'Annunzio 1291 | @cafedesfleurs_sp,Café des Fleurs,"Ambiente charmoso estilo parisiense, famoso pelo mil-folhas montado na hora e decoração delicada.",Instagram oficial; TripAdvisor; Veja São Paulo,0.95,
Okone Cozinha Japonesa e Peruana | Restaurante | Nikkei | Rua Gabriele D'Annunzio 1267 | @Okone.SP,Okone Cozinha Japonesa e Peruana,Destaque para o rodízio completo e a fusão nikkei com peixes sempre muito frescos.,Instagram oficial; TripAdvisor; Google Maps,0.95,
Omakase Nihon | Restaurante | Japonês | Rua Antônio de Macedo Soares 1377 | @omakasenihon,Omakase Nihon,Experiência japonesa autoral com peixes frescos e trilha de jazz em ambiente acolhedor.,Instagram oficial; Site oficial; TripAdvisor,0.95,
Churrascaria Estância Campo Belo | Restaurante | Churrascaria | Av. Ver. José Diniz 3271 | @estancia_campo_belo,Churrascaria Estância Campo Belo,"Rodízio tradicional com buffet variado de frutos do mar, sushi e espaço kids completo.",Instagram oficial; Site oficial; Google Maps; TripAdvisor,0.95,
Melhor Bocado Café | Café | Doces/Padaria | Rua Vieira de Morais 889 | @melhorbocadocafe,Melhor Bocado Café,"Parada acolhedora para donuts fofinhos e torrada Petrópolis, ideal para um café sem pressa.",Instagram oficial; Site oficial; Google Maps,0.95,
Soffio Pizzeria | Restaurante | Pizzaria napolitana | Rua João de Souza Dias 281 | @soffiopizzeria,Soffio Pizzeria,"Pizzas napolitanas individuais com massa levíssima, cortadas à tesoura pelo premiado chef Dani Branca.",Site oficial; Instagram oficial; Guia Veja SP Comer & Beber 2025,1,
Le Petit Gabriele | Restaurante | Francês | Rua Gabriele D'Annunzio 1266 | @lepetitgabriele,Le Petit Gabriele,"Bistrô parisiense acolhedor no Campo Belo, ideal para clássicos franceses e vinhos selecionados.",Instagram oficial; Site oficial; Google Maps; TripAdvisor,1,
Espaço Mel Casagrande | Loja | Moda Feminina | Rua Vieira de Morais 1230 | @espacomelcasagrande,Espaço Mel Casagrande,"Loja multimarcas charmosa com moda feminina, itens de decoração e estacionamento gratuito na porta.",Instagram oficial; Google Maps; Pesquisa local,0.95,
