nome,categoria,subcategoria,endereco,bairro,cidade,whatsapp,instagram,ticket_medio,descricao,destaque,potencial_parceria,observacoes,fonte_google,link_fonte
Urban Kitchen,Restaurante,Brunch/Rooftop,Rua Gabriele D'Annunzio 1334,Campo Belo,São Paulo,(11) 99498-3336,@urbankitchen.br,R$60-120,Rooftop com brunch moderno e drinques; ambiente descolado com vista aberta no coração do bairro.,Brunch e ambiente moderno,Alto,Conteúdo visual forte,Dados do usuário + Instagram,
NB Steak Campo Belo,Restaurante,Churrascaria Premium,Av Vereador José Diniz 3864,Campo Belo,São Paulo,,@nbsteak,R$150+,Rodízio premium de cortes nobres em ambiente sofisticado; ideal para quem busca churrasco de alto padrão.,Rodízio premium,Médio,Difícil fechar sem proposta,Dados do usuário,
Huto Izakaya,Restaurante,Japonês,Rua Jesuíno Maciel 682,Campo Belo,São Paulo,,@grupo_huto,R$120-200,Izakaya japonês moderno com drinques autorais e pratos criativos; ótimo para jantar e noite.,Experiência japonesa moderna,Alto,Forte no Instagram,Dados do usuário,
Maremonti Campo Belo,Restaurante,Italiano,Rua Princesa Isabel 953,Campo Belo,São Paulo,,@maremonti_,R$100-180,Pizzas e massas italianas de rede consagrada; ótimo para jantares em família ou a dois.,Pizza e massas,Médio,Rede estruturada,Dados do usuário,
Café Artigas / Casa Artigas,Café,Brunch,Rua Barão Jaceguai 1151,Campo Belo,São Paulo,(11) 3854-5636,@cafeartigas,R$50-90,Brunch e café dentro do espaço cultural da icônica Casa Artigas; experiência além do paladar.,Ambiente cultural,Alto,Diferencial de conceito,CampoBeloDicas,https://campobelodicas.com/casa-artigas/
O Jardim Café & Brunch,Café,Brunch,Rua Princesa Isabel 1372,Campo Belo,São Paulo,(11) 91236-5678,@ojardim.sp,R$50-100,Brunch aconchegante e pet friendly; jardim charmoso para relaxar a qualquer hora do dia.,Ambiente aconchegante,Alto,Bom pra conteúdo lifestyle,TripAdvisor + Instagram,
Platz Eurobar,Bar,Happy Hour,Rua Cristóvão Pereira 1252,Campo Belo,São Paulo,(11) 5531-4036,@platz_eurobar,R$50-120,"Bar de happy hour com cervejas nacionais, importadas e artesanais; petiscos e boa vibe para grupos.",Drinks e chopp,Médio,Muita concorrência,Site oficial + Instagram,https://platzbar.com.br
Miles Wine Bar,Bar,Wine Bar,Rua Antônio de Macedo Soares 1373,Campo Belo,São Paulo,(11) 99308-2739,@mileswinebar,R$120+,Wine bar com jazz ao vivo; ambiente sofisticado ideal para noites especiais.,Vinho + jazz,Alto,Experiência diferenciada,Instagram + Brazil Economy,
Miya Wine Bar,Bar,Wine Bar,Rua República do Iraque 1038,Campo Belo,São Paulo,,@miyawinebar,R$100-180,Wine bar intimista com boa carta de vinhos; ambiente discreto e aconchegante para a noite.,Ambiente intimista,Alto,Bom pra noite,DuoGourmet + Instagram,
Sauce Burger,Restaurante,Hamburgueria,Rua João de Sousa Dias 475,Campo Belo,São Paulo,,@sauce.burgers,R$40-80,Hambúrgueres artesanais com blend próprio; também atende por delivery.,Burgers artesanais,Alto,Delivery forte,Viva a Cidade + Instagram,
Ken Zushi,Restaurante,Japonês,Rua Barão de Suruí 190 - 1° andar,Campo Belo,São Paulo,(11) 95924-2994,@ken_zushi,R$100-200,Sushi moderno e criativo no 1° andar; peças diferenciadas e cardápio autoral.,Sushi moderno,Alto,Já faz marketing,CampoBeloDicas,
Cris Parrilla Bar,Restaurante,Parrilla,Rua República do Iraque 1326,Campo Belo,São Paulo,,@crisparrillabar,R$80-150,Cortes argentinos preparados na parrilla ao vivo; ótimo para grupos e amantes de carnes.,Parrilla argentina,Médio,Boa pra reels de carne,BaresSP + Instagram,
Caetano's Bar,Bar,Tradicional,,Campo Belo,São Paulo,,,R$50-100,Bar de bairro desde 2005; famoso pelo bolinho de carne e lista com mais de 60 rótulos de cerveja.,Bar clássico,Médio,Público menos digital,Dados do usuário,
Padaria Colonial,Padaria,Tradicional,Rua Demóstenes 805,Campo Belo,São Paulo,,,R$30-80,Padaria de bairro com café da manhã completo; produtos frescos e fluxo intenso o dia todo.,Café da manhã,Alto,Fluxo alto diário,Comercio SP,
Padaria A Trigueira,Padaria,Tradicional,,Campo Belo,São Paulo,(11) 94384-8055,,R$30-80,Padaria completa com serviço de mesa; opção sólida para o café da manhã e almoço do dia a dia.,Padaria completa,Alto,Cliente recorrente,Dados do usuário,
Benjamin a Padaria,Padaria,Rede,Rua Dr. Jesuíno Maciel 192,Campo Belo,São Paulo,,,R$30-70,"Rede moderna de padaria com boa variedade de pães, salgados e doces; rápido e prático.",Padaria moderna,Médio,Rede grande,Comercio SP,
Toss Baking Unit,Padaria,Artesanal,Av. Ver. José Diniz 3031,Campo Belo,São Paulo,,@toss.bakingunit,R$40-90,Padaria artesanal famosa pelo croissant de amêndoas; viennoiseries e doces fotogênicos que viralizam.,Padaria estética,Altíssimo,Viral fácil - croissant de amêndoas imperdível,Comercio SP,
Confeitaria Christina,Confeitaria,Premium,,Campo Belo,São Paulo,,@confeitariachristina,R$50-120,Doces finos e bolos tradicionais de marca consolidada no bairro; qualidade de longa data.,Doces tradicionais,Baixo,Marca consolidada,Dados do usuário,
Dona Glória Confeitaria,Confeitaria,Caseira,,Campo Belo,São Paulo,(11) 96625-0909,,R$40-80,Confeitaria caseira com bolos sob encomenda e doces feitos com capricho; atendimento pelo WhatsApp.,Bolos caseiros,Alto,Negócio local,Dados do usuário,
Tartelier Patisserie,Confeitaria,Francesa,,Campo Belo,São Paulo,,@tartelier,R$50-120,"Patisserie com tartes, éclairs e doces finos de alta qualidade; disponível também por delivery.",Doces finos,Alto,Visual forte,Dados do usuário,
Chocolatria,Café,Doces,,Campo Belo,São Paulo,,@chocolatria,R$30-80,Chocolates artesanais e cafés especiais; ótimo para um mimo rápido ou para presentear.,Chocolate artesanal,Alto,Bom pra reels,Dados do usuário,
Pizzaria Dona Moema,Restaurante,Pizzaria,,Campo Belo,São Paulo,(11) 5531-3633,,R$60-120,Pizzaria tradicional do bairro com delivery rápido e cardápio variado.,Delivery forte,Alto,Volume alto,Dados do usuário,
Pizza Prime Campo Belo,Restaurante,Pizzaria,,Campo Belo,São Paulo,,,R$40-90,Pizzaria com foco em delivery rápido e preços acessíveis.,Delivery,Médio,Concorrência alta,Dados do usuário,
Zi Tereza Pizzaria,Restaurante,Pizzaria,,Campo Belo,São Paulo,(11) 97453-7327,@zitereza,R$70-130,Pizzaria com história no bairro; receitas tradicionais passadas de geração em geração.,Tradicional,Alto,História vende,Dados do usuário,
LIVE! Campo Belo,Loja,Moda Fitness,Rua João de Souza Dias,Campo Belo,São Paulo,(11) 93088-4307,@liveoficial,,Loja da marca LIVE! com moda fitness feminina de qualidade; peças para treino e uso casual.,Moda fitness,Alto,Produto visual,Dados do usuário,
Boutique dos Livros,Loja,Livraria,Rua João de Sousa Dias 615,Campo Belo,São Paulo,(11) 94499-6858,@_boutiquedoslivros_,,Livraria independente com curadoria especial e atmosfera aconchegante; ótimo para explorar e descobrir títulos.,Experiência leitura,Alto,Storytelling forte,Dados do usuário,
HSE Loja 2,Loja,Esportes,Rua Conde de Porto Alegre 1182,Campo Belo,São Paulo,(11) 91054-3007,@hseloja2,,Loja especializada em tênis esportivo com serviço de encordoamento profissional; atendimento técnico e focado.,Tênis profissional,Médio,Nicho específico,Dados do usuário,
La Mia Gelateria,Confeitaria,Gelateria,Rua Vieira de Morais 329,Campo Belo,São Paulo,(11) 99318-8348,@lamia.gelateria,R$30-50,Gelatos italianos artesanais da rede La Mia; sabores clássicos e sazonais feitos com ingredientes selecionados.,Gelatos italianos artesanais,Alto,Parte da rede La Mia,CampoBeloDicas + site oficial,https://www.lamiagelateria.com/
Café des Fleurs,Café,Francês,Rua Gabriele D'Annunzio 1291,Campo Belo,São Paulo,(11) 5093-2003,@cafedesfleurs_sp,R$40-80,Café com tortas e doces no estilo bistrô francês; decoração encantadora e atendimento acolhedor.,Tortas e doces no estilo francês,Alto,Decoração estilo bistrô parisiense,CampoBeloDicas + BaresSP,https://www.baressp.com.br/restaurantes/cafes/cafe-des-fleurs
Okone Cozinha Japonesa e Peruana,Restaurante,Nikkei,Rua Gabriele D'Annunzio 1267,Campo Belo,São Paulo,(11) 98868-6983,@Okone.SP,R$100-200,"Cozinha nikkei autoral com fusão japonesa-peruana; sushi, ceviche e pratos exclusivos em ambiente moderno.",Pratos fusion (sushi e ceviche),Médio,Cozinha Nikkei autoral,CampoBeloDicas + DuoGourmet,https://www.duogourmet.com.br/restaurantes/sao-paulo/okone-cozinha-japonesa-e-peruana
Omakase Nihon,Restaurante,Japonês,Rua Antônio de Macedo Soares 1377,Campo Belo,São Paulo,,@omakasenihon,R$250-350,Menu degustação omakase criado pelo chef; experiência de alta gastronomia japonesa com reserva antecipada.,Menu degustação Omakase premium,Alto,Experiência de alta gastronomia japonesa,Revista Mensch + Instagram,https://revistamensch.com.br/paladar-omakase-a-arte-da-confianca-na-gastronomia-japonesa/
Churrascaria Estância Campo Belo,Restaurante,Churrascaria,Av. Ver. José Diniz 3271,Campo Belo,São Paulo,(11) 5093-3717,@estancia_campo_belo,R$150+,Rodízio gaúcho clássico com cortes tradicionais; espaço amplo ideal para grupos e eventos.,Rodízio gaúcho tradicional,Médio,Espaço amplo para eventos,site oficial,https://estanciachurrascariaeventos.com/
Melhor Bocado Café,Café,Doces/Padaria,Rua Vieira de Morais 889,Campo Belo,São Paulo,(11) 93536-9625,@melhorbocadocafe,R$30-60,Donuts e doces artesanais recém-chegados ao bairro; café especial e ambiente descolado.,Donuts e doces artesanais,Alto,Inaugurado recentemente no bairro,dados locais,
Soffio Pizzeria,Restaurante,Pizzaria (napolitana),Rua João de Souza Dias 281,Campo Belo,São Paulo,,@soffiopizzeria,R$120-180,Pizzas napolitanas de fermentação natural longa; massa leve e ingredientes selecionados pelos sócios do Charles Pizzaria.,Pizzas de longa fermentação natural,Alto,Nova casa dos sócios do rodízio Charles Pizzaria,VEJA SP + site oficial,https://soffiopizzeria.com.br/
Le Petit Gabriele,Restaurante,Francês,Rua Gabriele D'Annunzio 1266,Campo Belo,São Paulo,(11) 95423-3898,@lepetitgabriele,R$100-180,Bistrô francês em casa reformada; pratos clássicos e charme parisiense no Campo Belo.,Pratos clássicos da culinária francesa,Médio,Bistrô parisiense em casa reformada,site oficial,https://www.lepetitgabriele.com.br/
Espaço Mel Casagrande,Loja,Moda Feminina,Rua Vieira de Morais 1230,Campo Belo,São Paulo,(11) 93088-4307,@espacomelcasagrande,,Moda feminina desde 2016 com curadoria para looks completos; roupas para trabalho passeio eventos e moda festa do casual ao sofisticado além de peças de decoração e itens de mesa posta. Atendimento acolhedor para provar com calma.,Desde 2016. Moda feminina — casual ao sofisticado + decoração e mesa posta,Alto,Curadoria de looks + decoração diferencia da concorrência,Dados do usuário,
